date,ticker,price
2024-01-01,AAPL,150.44388244472387
2024-01-02,AAPL,150.860193872911
2024-01-03,AAPL,150.31004714533424
2024-01-04,AAPL,149.921858084476
2024-01-05,AAPL,149.86847873884173
2024-01-06,AAPL,150.56449783309574
2024-01-07,AAPL,150.15998786285738
2024-01-08,AAPL,150.3440135055374
2024-01-09,AAPL,151.621090492909
2024-01-10,AAPL,149.81797527425695
2024-01-11,AAPL,150.00727476089725
2024-01-12,AAPL,148.9090100780354
2024-01-13,AAPL,150.38941051275393
2024-01-14,AAPL,150.803587730221
2024-01-15,AAPL,151.25137262847252
2024-01-16,AAPL,152.26423537715917
2024-01-17,AAPL,151.20152388901454
2024-01-18,AAPL,153.06230913941587
2024-01-19,AAPL,152.08416964307497
2024-01-20,AAPL,149.8207945827343
