date,ticker,price
2024-01-01,AAPL,150.12921092214603
2024-01-02,AAPL,149.64169740264057
2024-01-03,AAPL,149.28543199084473
2024-01-04,AAPL,149.10184783826134
2024-01-05,AAPL,149.87393412904
2024-01-06,AAPL,149.96759650541668
2024-01-07,AAPL,148.38442004204444
2024-01-08,AAPL,147.91119110438473
2024-01-09,AAPL,148.08710592052816
2024-01-10,AAPL,149.37453590620814
2024-01-11,AAPL,148.61468766945276
2024-01-12,AAPL,148.12955445299528
2024-01-13,AAPL,148.50416874836412
2024-01-14,AAPL,149.75555426683994
2024-01-15,AAPL,147.50432467861881
2024-01-16,AAPL,147.7473344964034
2024-01-17,AAPL,147.92053039386815
2024-01-18,AAPL,147.13449906860416
2024-01-19,AAPL,147.01073335994275
2024-01-20,AAPL,146.25945146383003
