date,ticker,price
2024-01-01,AAPL,149.92739250435577
2024-01-02,AAPL,151.88055996673563
2024-01-03,AAPL,149.22222244051105
2024-01-04,AAPL,149.79254206602917
2024-01-05,AAPL,149.3193635414155
2024-01-06,AAPL,149.75459664190066
2024-01-07,AAPL,148.3682740935381
2024-01-08,AAPL,149.74791877523984
2024-01-09,AAPL,149.95585849128582
2024-01-10,AAPL,148.78514956962061
2024-01-11,AAPL,147.90575654338667
2024-01-12,AAPL,150.09855719508138
2024-01-13,AAPL,149.28392463156604
2024-01-14,AAPL,149.10960615892787
2024-01-15,AAPL,148.3181861581266
2024-01-16,AAPL,146.52890560649183
2024-01-17,AAPL,146.62198475537133
2024-01-18,AAPL,146.14051404214533
2024-01-19,AAPL,145.1484572574263
2024-01-20,AAPL,144.69200886068955
