date,ticker,price
2024-01-01,AAPL,149.4961094773609
2024-01-02,AAPL,148.18921990423456
2024-01-03,AAPL,148.08973267588019
2024-01-04,AAPL,150.19579237091452
2024-01-05,AAPL,148.5596275195655
2024-01-06,AAPL,148.75360708886953
2024-01-07,AAPL,148.7742276011829
2024-01-08,AAPL,148.73968860494682
2024-01-09,AAPL,150.14387259876213
2024-01-10,AAPL,150.50493357103124
2024-01-11,AAPL,150.22076493498204
2024-01-12,AAPL,150.91770737444327
2024-01-13,AAPL,150.80863849178564
2024-01-14,AAPL,153.80235487790875
2024-01-15,AAPL,152.451695041202
2024-01-16,AAPL,152.03100412920264
2024-01-17,AAPL,151.9455676622733
2024-01-18,AAPL,150.8725111684699
2024-01-19,AAPL,150.95818502030554
2024-01-20,AAPL,151.6246361438696
