date,ticker,price
2024-01-01,AAPL,150.06708244283013
2024-01-02,AAPL,149.6486065915723
2024-01-03,AAPL,148.2815494999742
2024-01-04,AAPL,148.27363774610205
2024-01-05,AAPL,149.9926786487178
2024-01-06,AAPL,150.5187377620332
2024-01-07,AAPL,150.47507719193902
2024-01-08,AAPL,150.30086498226615
2024-01-09,AAPL,150.4243061118965
2024-01-10,AAPL,151.5114784089866
2024-01-11,AAPL,148.94409772874096
2024-01-12,AAPL,147.27915480458304
2024-01-13,AAPL,146.06479951586533
2024-01-14,AAPL,144.22872930154801
2024-01-15,AAPL,144.11053185262276
2024-01-16,AAPL,143.46103479590056
2024-01-17,AAPL,144.83824381950018
2024-01-18,AAPL,146.31329270203756
2024-01-19,AAPL,146.85602929953333
2024-01-20,AAPL,146.3742318480325
